Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
0.01,-96.99998071546533,32.90000000873667,4572.317736863646,-1.4660479473059273e-11,17.00001615949668,90.00001052444149
0.02,-96.99996144599068,32.90000001752171,4572.637341061985,5.032020366801638e-10,16.99742832385134,90.00002104083288
0.03,-96.99994218002908,32.900000026302244,4572.957564992211,-1.4582293359617672e-07,16.993479631799183,90.00003159176251
0.04,-96.99992292216335,32.900000035094195,4573.278775637734,-5.818334216204994e-07,16.989372547300764,90.00004221055764
0.05,-96.99990367198514,32.90000004389825,4573.600995903227,-1.4363485764258659e-06,16.986291769455672,90.00005293020764
0.060000000000000005,-96.99988442967727,32.90000005271464,4573.924232503849,-2.8239635228919867e-06,16.98540931699141,90.00006377792812
0.07,-96.99986519507317,32.900000061542784,4574.24846308904,-4.844400785939758e-06,16.98696083587128,90.00007478594009
0.08,-96.99984596817579,32.90000007038258,4574.573684019622,-7.586804128180789e-06,16.99078999080197,90.00008597171005
0.09,-96.99982674898291,32.900000079234026,4574.899891398669,-1.1128047847090638e-05,16.996733248432122,90.00009735821412
0.09999999999999999,-96.99980753746715,32.90000008809694,4575.2270787858015,-1.5535279128363367e-05,17.00464132809911,90.00010896420046
0.10999999999999999,-96.99978833360856,32.9000000969712,4575.555240645612,-2.0866568926137724e-05,17.01437587414648,90.00012080633738
0.11999999999999998,-96.99976913738988,32.90000010585671,4575.884371820802,-2.7171776582061655e-05,17.0258082816813,90.00013289937844
0.12999999999999998,-96.99974994879558,32.90000011475338,4576.214467444754,-3.4493340394243876e-05,17.038818994589693,90.0001452563139
0.13999999999999999,-96.9997307678118,32.90000012366111,4576.545522922227,-4.286700027359729e-05,17.05329686256168,90.0001578885112
0.15,-96.99971159442623,32.90000013257979,4576.877533903242,-5.232245767329478e-05,17.069138541572563,90.00017080584534
0.16,-96.99969242862802,32.900000141509366,4577.210496269453,-6.28839782201116e-05,17.086247937761485,90.00018401682007
0.17,-96.99967327040764,32.90000015044977,4577.544406120527,-7.457094138175254e-05,17.10453569178757,90.00019752868042
0.18000000000000002,-96.99965411975681,32.900000159400925,4577.879259757107,-8.739834155445165e-05,17.123918700615686,90.00021134751668
0.19000000000000003,-96.99963497666843,32.900000168362745,4578.215053662649,-0.00010137724447706702,17.1443196739287,90.0002254783616
0.20000000000000004,-96.99961584113647,32.90000017733521,4578.5517844943315,-0.00011651520275019618,17.165666722586263,90.00023992527952
0.21000000000000005,-96.99959671315588,32.90000018631823,4578.889449069437,-0.00013281663382326287,17.187892976751026,90.00025469144964
0.22000000000000006,-96.99957759272257,32.90000019531176,4579.228044355131,-0.00015028316340582636,17.21093623148701,90.00026977924264
0.23000000000000007,-96.99955847983333,32.90000020431577,4579.567567453694,-0.00016891393738194748,17.23473861780383,90.00028519029209
0.24000000000000007,-96.99953937448572,32.9000002133302,4579.908015597994,-0.0001887059048192974,17.259246297275606,90.0003009255597
0.25000000000000006,-96.99952027667806,32.900000222355025,4580.249386140114,-0.00020965407448756185,17.284409178505655,90.00031698539628
0.26000000000000006,-96.99950118640938,32.90000023139019,4580.591676537743,-0.00023175174712201991,17.310180653839456,90.00033336959795
0.2700000000000001,-96.99948210367936,32.90000024043565,4580.934884358708,-0.0002549907256408843,17.336517354849047,90.00035007745765
0.2800000000000001,-96.99946302848826,32.90000024949141,4581.279007257128,-0.00027936150499917366,17.36337892522281,90.00036710781299
0.2900000000000001,-96.99944396083691,32.900000258557405,4581.6240429836425,-0.00030485344378639696,17.390727809797276,90.0003844590904
0.3000000000000001,-96.99942490072665,32.900000267633644,4581.969989364964,-0.000331454918712948,17.41852905856176,90.00040212934545
0.3100000000000001,-96.99940584815931,32.90000027672006,4582.316844305018,-0.00035915346390417004,17.44675014455352,90.0004201163004
0.3200000000000001,-96.99938680313717,32.90000028581664,4582.664605780399,-0.00038793589620960426,17.475360794641848,90.00043841737855
0.3300000000000001,-96.9993677656629,32.90000029492338,4583.013271825612,-0.0004177884275749604,17.504332832272826,90.00045702973578
0.34000000000000014,-96.99934873573956,32.90000030404024,4583.362840545559,-0.0004486967660599765,17.533640031315688,90.00047595028961
0.35000000000000014,-96.9993297133706,32.90000031316722,4583.713310095105,-0.00048064620612585563,17.56325798021427,90.00049517574591
0.36000000000000015,-96.99931069855973,32.90000032230429,4584.064678681344,-0.0005136217094101938,17.593163955705744,90.00051470262336
0.37000000000000016,-96.99929169131104,32.90000033145144,4584.416944559061,-0.0005476079767797919,17.623336805422714,90.000534527276
0.38000000000000017,-96.99927269162885,32.900000340608635,4584.770106030733,-0.000582589512539412,17.653756838744712,90.00055464591368
0.3900000000000002,-96.99925369951777,32.90000034977589,4585.124161436302,-0.0006185506814887402,17.68440572531093,90.00057505462084
0.4000000000000002,-96.99923471498262,32.90000035895317,4585.47910915432,-0.0006554757593588636,17.715266400649366,90.00059574937397
0.4100000000000002,-96.99921573802847,32.900000368140496,4585.834947599674,-0.0006933489777231001,17.74632297841631,90.00061672605717
0.4200000000000002,-96.9991967686606,32.900000377337825,4586.191675221312,-0.0007321545631844259,17.777560668777333,90.00063798047667
0.4300000000000002,-96.99917780688446,32.900000386545166,4586.549290495437,-0.0007718767722067431,17.808965702494483,90.00065950837374
0.4400000000000002,-96.99915885270566,32.90000039576251,4586.907791924366,-0.000812499921302104,17.840525260315495,90.00068130543698
0.45000000000000023,-96.99913990613003,32.90000040498983,4587.267178043345,-0.0008540084136910628,17.872227407290616,90.00070336731282
